Word	Frequency
ever	688
you)	685
rose	682
amor	681
oh	681
die	681
she's	678
free	677
house	677
every	676
stand	673
devil	673
te	671
green	665
merry	665
comes	662
midnight	661
fool	661
loving	660
sentimental	654
friend	653
wild	651
best	651
remix]	650
autumn	649
think	648
roll	646
leaves	645
nice	640
child	636
(and	635
music	634
watch	633
please	631
change	629
won't	628
help	627
ride	626
money	625
much	624
broken	623
friends	616
tears	616
snow!	614
sing	610
real	604
hands	604
santa	604
chance	603
summer	603
mr.	602
falling	598
far	598
turn	595
wrong	594
water	592
times	589
well	588
once	587
upon	583
tu	583
fly	580
what's	577
somebody	577
stars	576
goes	575
made	574
tomorrow	572
face	570
into	569
hand	568
lover	567
mean	565
dark	564
gotta	563
2	563
oh,	560
anything	556
waiting	555
name	554
spring	554
mi	552
close	551
u	551
own	550
sunday	549
king	543
train	538
shadow	531
born	530
did	527
first	526
nobody	522
war	522
place	521
myself	521
sunshine	519
before	519
enough	518
girls	516
me)	516
they	515
louis	514
stardust	511
rainy	511
cold	507
wind	506
kind	502
words	502
en	497
[version]	494
ya	492
magic	492
edit]	491
track]	491
party	486
same	482
speak	482
radio	480
there's	480
un	480
years	479
skin	478
hell	476
line	476
sea	476
he	473
claus	472
(the	469
blood	467
today	466
blackbird	465
room	463
shine	460
dear	459
show	457
hear	454
sleep	453
living	452
save	452
put	451
came	450
jesus	450
left	449
country	447
wait	447
[live][*]	446
break	445
drummer	441
hot	441
[single	441
(i	441
getting	439
true	439
work	439
mountain	438
lights	438
other	438
lovin'	434
death	433
ready	433
angels	432
someday	429
loves	429
here's	426
till	425
touch	422
[mono	422
[radio	421
must	421
embraceable	420
april	419
bird	416
try	416
we're	411
hill	411
[alternate	410
might	407
y	406
between	406
loved	405
lovely	404
ghost	400
feeling	400
play	398
paper	397
inside	396
almost	395
story	392
looking	392
move	391
dancing	390
care	389
nearness	389
late	388
mama	388
you'll	387
arms	387
boys	387
alive	386
blame	384
fine	384
game	382
anymore	381
would	380
moonlight	380
bring	380
everybody	380
didn't	379
slow	379
paradise	378
being	378
hello	378
open	378
lucky	377
da	376
great	376
sunny	376
lullaby	373
many	373
top	371
three	371
should	370
pt.	369
funny	369
skylark	364
lose	364
knows	363
lonesome	362
(if	362
somewhere	362
sorry	361
alright	360
intro	359
pretty	359
perfect	359
queen	357
san	355
stone	354
laura	352
danny	351
land	350
rest	349
walking	348
begin	348
golden	347
find	347
silent	346
silver	345
clear	343
while	343
[dvd][live]	342
you'd	340
ti	337
you,	337
le	336
[remix]	335
lie	335
[live	335
roses	333
earth	332
burn	332
trouble	331
york	330
ocean?	329
serenade	328
yo	328
son	328
said	327
knew	325
del	321
(from	321
beat	321
pain	320
hate	319
caravan	319
sin	319
east	318
him	318
kill	317
really	316
dog	316
mary	315
crying	315
next	315
secret	315
memory	314
does	314
lies	312
theme	311
gold	310
power	310
me,	309
sound	308
wonderful	305
truth	305
small	305
honey	304
maybe	304
holy	304
strange	302
bells	302
por	302
running	302
hearts	301
children	299
stranger	299
his	299
sophisticated	297
reason	297
prelude	297
joe	296
then	294
1	294
ago	294
eye	294
door	293
shake	292
them	291
done	290
mother	289
dirty	289
american	288
book	288
south	287
letter	287
dolphin	287
hurt	285
goin'	285
foggy	284
who's	284
wake	283
bethlehem	283
second	282
lord	282
heartache	281
misbehavin'	281
burning	280
fools	278
[original	278
greater	278
nights	277
until	276
thank	275
worry	274
sugar	273
[demo	272
memories	272
daddy	272
fell	272
along	272
wonder	271
round	271
spanish	270
es	270
eleanor	270
yours	270
si	270
gun	269
step	269
any	268
solitude	268
cover	267
may	267
sometimes	267
america	266
moment	266
forget	266
sad	266
tired	265
rigby	265
i'd	265
seeing	264
(for	264
evening	263
prayer	263
winter	263
freedom	262
indigo	262
year	262
rhythm	261
california	261
cool	261
hope	261
como	258
polka	258
silence	258
se	258
drive	257
lo	257
rag	256
peace	256
set	255
because	255
john	253
beguine	253
nothin'	253
machine	250
hotel	250
brown	249
car	249
lay	249
grace	249
welcome	248
grow	248
used	248
he's	247
five	246
follow	245
found	245
blind	243
write	242
called	241
wings	241
thought	240
4	240
miles	240
saturday	240
wall	239
else	239
nowhere	238
control	237
everywhere	237
takes	236
pennies	236
stepped	236
[live][#]	236
heard	236
breathe	235
tree	234
closer	234
dots	233
wine	233
space	232
taking	232
doing	232
swing)	232
waltz	232
took	231
word	230
cross	230
los	230
bell	229
nobody's	229
you?	229
fear	228
anyone	228
ocean	228
ground	227
whole	227
boogie	225
hit	225
joy	225
moonbeams	225
lover,	224
mercy	224
goodnight	222
september	222
candy	222
yesterday	221
good)	220
evil	220
guy	220
full	219
meet	219
send	218
(interlude)	216
those	216
million	216
four	216
behind	216
club	216
smoke	215
bit	215
walked	214
ice	214
summertime	214
careless	214
hour	214
'bout	214
air	213
-	213
sister	213
valley	213
(i'm	213
swing	212
highway	212
exactly	212
hole	211
sunset	211
'em	211
love)	211
una	210
lorraine	210
shoes	210
isn't	210
comin'	208
told	208
vida	207
very	207
baby,	207
belong	207
half	207
matter	207
family	207
trust	206
lovers	206
ballad	206
strangers	205
losing	205
human	205
yet	204
bang	204
purple	204
affair	204
wood	204
future	203
away)	203
glory	203
ye	203
faith	203
cowboy	203
means	203
rush	202
start	202
west	202
storm	202
empty	201
voice	200
con	200
[dvd][*]	200
saw	199
hurts	199
rise	198
beyond	198
mad	198
ipanema	198
seven	198
hang	198
ring	197
reach	197
les	197
even	197
poor	197
on?	197
johnny	196
simple	196
shame	196
fight	196
seen	196
lot	195
part	195
leaving	195
(to	194
'n'	194
corner	194
ghetto	194
(in	193
glass	193
men	193
version][*]	193
(you	192
strong	192
thrill	191
wheel	191
number	190
band	190
missing	190
[album	189
across	189
[#][*]	188
amazing	188
soon	188
return	187
waterfront	187
spirit	187
film	187
shot	187
island	186
breaking	186
pieces	186
garden	186
cried	186
happiness	185
sex	185
ball	185
smiling	185
man's	184
prince	184
picture	183
sick	183
dust	183
diamonds	182
(but	182
surrender	182
hero	182
walls	182
jack	181
promise	181
concentrate	181
lisa	181
sleepy	180
makes	180
middle	180
standing	180
tiger	179
gets	179
yes	178
listen	178
single	178
brand	178
fun	178
started	178
special	177
rockin'	177
calling	177
monday	177
bed	177
livin'	177
ask	177
flowers	177
alabama	176
revolution	176
gimme	176
bothered	176
brother	175
ways	175
wanted	175
streets	173
snow	173
outside	173
bridge	173
sing,	173
texas	172
quiero	172
needs	172
desire	172
jude	171
imagine	171
darkness	171
carry	171
love's	171
against	170
choo	170
maria	170
faithful	169
kid	169
mona	168
changes	168
bewildered	168
dreaming	168
[edit]	167
feelin'	167
paris	167
solo	167
most	167
flame	167
mirror	166
kids	166
higher	166
box	166
easily	165
georgia	165
state	164
edge	164
whatever	164
runaway	164
bewitched,	164
feels	163
shout	163
fair	162
ten	162
emily	162
song)	162
went	162
guitar	161
al	161
everyday	161
thinking	161
para	161
walkin'	160
moonglow	160
hollywood	160
straight	160
du	159
sleeping	159
butterfly	159
skies	159
(when	158
precious	158
happens	158
(reprise)	158
stood	158
las	157
feet	157
[acoustic	157
different	157
farewell	156
tender	156
francisco	156
gal	156
soldier	156
win	155
[take	155
romance	155
working	154
wouldn't	154
breath	154
doll	154
happen	154
je	154
sweetheart	153
sign	153
[multimedia	153
buy	153
school	152
james	152
squeeze	152
bitch	152
birdland	152
grey	151
making	151
thousand	150
3	150
here,	150
doesn't	149
love,	149
fever	148
killing	148
[extended	148
window	148
drop	148
since	147
universe	147
weather	147
hide	147
yeah	147
business	147
art	146
valentine	146
fallen	146
chain	146
quiet	145
fast	145
thanks	145
advantage	144
darling	144
e	144
holiday	144
shadows	143
wave	143
sure	143
me?	142
di	142
(this	142
be)	141
songs	141
dying	141
murder	141
rising	141
boom	140
strings	140
araby	140
(intro)	140
dinah	140
something's	140
wasted	139
father	139
ich	138
everybody's	138
age	138
sheik	138
guess	138
norwegian	138
sexy	137
temptation	137
women	137
floor	136
london	136
yellow	136
sale	136
chains	136
circle	135
pride	135
[#][demo	135
tú	135
loose	135
heat	134
lives	134
orleans?	134
blow	134
take]	133
broadway	133
tenderness	133
beauty	132
turning	132
tear	132
talking	132
mystery	132
luck	132
happened	132
flying	132
park	132
wide	132
god's	132
cut	132
piece	132
dawn	132
catch	131
antonio	131
tennessee	131
rider	131
afraid	131
glad	131
bless	130
whiskey	130
wants	130
understand	130
sally	129
love?	129
anthem	129
kick	128
killer	128
spell	128
monkey	128
tide	127
bound	127
string	127
reasons	127
hair	127
natural	126
'til	126
suicide	126
jones	126
ii	126
bottle	126
cat	126
pick	125
dry	125
memphis	125
bones	125
final	125
grass	125
wedding	124
message	124
(a	124
talkin'	124
pop	123
jane	123
holding	123
pass	123
beginning	123
winding	123
count	122
games	122
heavy	122
enchanted	122
tall	122
o'	122
watching	121
heartbreak	121
heroes	121
dangerous	121
imagination	121
singing	121
fields	121
stairway	121
enemy	121
above	121
throw	120
poison	120
lookin'	120
minute	120
soy	120
satisfied	120
ship	119
animal	119
guilty	119
baby's	119
jingle	119
gypsy	119
use	118
act	118
whispering	118
shut	118
il	118
flown)	118
va	118
hundred	117
unforgettable	117
clown	117
sunrise	117
greatest	117
jeepers	117
apart	117
marvelous	117
creepers	117
speed	116
noche	116
tequila	116
wire	116
melody	116
shit	116
nada	115
vez	114
bomb	114
bottom	114
fuck	114
no.	113
horses	113
gangsta	113
parade	113
doctor	113
(that's	113
hours	113
pray	113
do?	113
electric	113
[acoustic]	113
mouth	113
planet	112
lazy	112
invisible	112
girlfriend	112
honky	112
fade	112
fat	112
youth	112
news	112
pie	112
miracle	111
tease	111
push	111
minutes	111
hearted	111
motion	111
softly	110
(with	110
ordinary	110
diamond	110
sand	110
horse	110
nature	110
piano	110
becomes	110
friday	109
laughing	109
voices	109
harlem	109
build	109
der	109
less	109
corazón	109
chasing	109
tango	109
prisoner	109
flower	109
wishing	108
such	108
weekend	108
gave	108
funky	108
stormy	108
digital	108
apple	108
century	108
(don't	108
birds	107
needed	107
misery	107
crime	107
point	107
metal	107
freak	107
ol'	107
rather	107
caught	107
carol	107
now?	107
we'll	106
somebody's	106
answer	106
(is	106
lucy	106
rolling	106
law	106
sit	106
six	106
bay	105
rich	105
promises	105
kisses	105
couldn't	105
york,	105
day's	105
says	105
stereo	104
lead	104
distance	104
style	104
jealous	104
believer	104
clean	104
early	104
voy	104
superstar	104
up,	103
both	103
orleans	103
mas	103
wheels	103
ashes	103
scream	103
key	103
sleigh	103
canadian	102
movin'	102
fantasy	102
foot	102
hadn't	102
past	102
disco	102
each	102
church	101
jump	101
(what	101
cherry	101
cuando	101
changed	101
(love	101
life?	101
warm	101
hungry	101
5	101
lately	101
flesh	101
hammer	101
wit	100
worth	100
hat	100
pictures	100
favorite	100
moving	100
bitter	100
lips	100
damn	100
[the	100
dogs	100
todo	100
[stereo	99
shall	99
crush	99
drink	99
kings	99
knock	99
learn	99
double	99
race	99
bobby	98
knife	98
seasons	98
thunder	98
regrets	98
master	98
cruel	98
third	98
luna	98
bone	97
wonderland	97
tonk	97
vain	97
ma	97
runnin'	97
grand	97
battle	97
attack	97
bright	97
dirt	97
sail	97
version	97
driving	97
bleed	96
tha	96
ones	96
crash	96
(just	96
trying	96
beast	96
wicked	96
makin'	96
'round	96
pink	96
ooh	96
twist	96
kingdom	96
birthday	95
mess	95
revenge	95
keepin'	95
groove	95
madness	95
ladies	95
already	95
endless	95
wasn't	95
ruby	95
escape	95
tune	95
doin'	94
letters	94
proud	94
north	94
grave	94
hangin'	94
sorrow	94
sitting	94
hallelujah	94
ends	94
beer	94
zero	94
he'll	94
diga	94
bullet	93
eight	93
non	93
anybody	93
monster	93
twice	93
lines	93
married	93
vas	93
breakdown	93
crown	92
a)	92
action	92
paint	92
interlude	92
falls	92
later	92
lightning	92
it)	92
afternoon	91
drunk	91
rebel	91
papa	91
pay	91
(they	91
everyone	91
safe	91
album	90
moon)	90
week	90
tv	90
we've	90
dress	90
esta	90
marie	90
stuff	90
thou	90
windmills	90
wolf	89
lifetime	89
jungle	89
[lp	89
brave	89
hush	89
everytime	88
thru	88
bill	88
spend	88
b	88
darlin'	88
rainbows	88
venus	88
steel	88
winds	88
modern	88
fallin'	88
beach	87
dandy	87
ave	87
winner	87
iron	87
loud	87
sixteen	87
scarlet	87
doo	87
met	87
fortune	87
somethin'	87
heartaches	87
meant	86
anywhere	86
flow	86
(as	86
stupid	86
pressure	86
(where	86
(i'll	86
gift	86
view	86
cow	86
tea	86
rollin'	86
bus	86
billy	86
[12"	86
do)	85
turned	85
thee	85
hollow	85
southern	85
check	85
rules	85
pas	85
worlds	85
o'clock	85
c'mon	85
troubles	85
daughter	84
dollar	84
gods	84
mississippi	84
mujer	84
avenue	84
hop	84
journey	84
phone	84
no,	83
impossible	83
boat	83
mischief	83
luv	83
hey,	83
devil's	83
price	83
(my	83
famous	83
known	83
cadillac	83
job	83
pleasure	83
chair	83
read	83
private	83
faces	83
hymn	83
loser	83
(it's	83
coffee	83
tight	83
release	83
gravity	82
downtown	82
kinda	82
dos	82
scene	82
weight	82
riders	82
color	82
shining	82
ugly	82
outta	82
10	82
cryin'	82
brain	82
noise	82
mighty	82
mile	82
trap	81
spinning	81
dime	81
coast	81
taste	81
fame	81
shoot	81
comfort	81
lamp	81
dixie	81
bar	81
rocks	81
its	81
hood	81
on)	81
lane	81
laugh	80
manger	80
twilight	80
december	80
mon	80
bridges	80
tripper	80
trip	80
short	80
daddy's	80
trees	80
life's	80
deal	80
secrets	80
volare	79
shoulder	79
front	79
amour	79
ended	79
nine	79
[version	79
problem	79
stones	79
vs.	79
underground	79
splendored	79
indian	79
mistake	79
mix][*]	79
ass	79
video]	79
within	79
[live][#][*]	78
gang	78
inner	78
hip	78
places	78
vision	78
toot,	78
des	78
witch	78
ghosts	78
gettin'	78
lament	78
shuffle	78
deeper	78
everything's	78
naked	78
7	78
saints	78
younger	78
eyed	78
steady	78
raining	78
super	77
destiny	77
glocca	77
dat	77
más	77
lovesick	77
guns	77
bounce	77
nation	77
clouds	77
islands	77
march	77
beneath	77
josephine	77
stronger	77
madonna	77
needles	77
thang	77
cheatin'	77
hanging	76
lee	76
grapevine	76
eat	76
scared	76
whisper	76
eres	76
teenage	76
herald	76
[*][version]	76
teach	76
warning	76
symphony	76
awake	76
chattanooga	76
prison	76
snake	76
ribbons	75
mcgee	75
slave	75
dancin'	75
rocket	75
stick	75
carolina	75
difference	75
peculiar	75
self	74
boots	74
stuck	74
blessed	74
cheek	74
heartbeat	74
heart)	74
circles	74
dreamed	74
rap	74
velvet	74
wherever	74
brothers	74
na	74
hurricane	74
hello,	74
siempre	74
i?	74
outro	74
donna	73
history	73
long,	73
square	73
starlight	73
thug	73
twisted	73
jam	73
dreamer	73
oh!	73
lake	73
ebb	73
corazon	73
thin	73
treat	73
[bonus	73
zone	73
ser	72
hay	72
noon	72
surrender,	72
day)	72
isle	72
trail	72
waste	72
singin'	72
forgotten	72
torn	72
babylon	72
rivers	72
lou	72
june	72
sol	72
sight	72
liar	72
em	71
l.a.	71
jimmy	71
track	71
1000	71
dig	71
walks	71
(on	71
crowd	71
(skit)	71
feelings	71
turns	71
mexico	71
ella	71
desert	71
vie	71
souls	71
passion	71
keeps	71
knowing	70
jet	70
respect	70
demo]	70
springtime	70
forgive	70
hunter	70
mia	70
mrs.	70
n	70
[new	70
flight	70
over)	70
apples	70
bag	70
windows	70
tenderly	70
ending	70
tough	70
innocence	70
contigo	69
generation	69
saved	69
fe	69
x	69
hurry	69
block	69
changing	69
sweetest	69
wizard	69
shelter	69
captain	69
nightmare	69
babe	69
longer	69
moments	69
grown	69
danger	69
farm	69
fighting	68
dancer	68
sides	68
+	68
raise	68
moves	68
uncle	68
annie	68
whistle	68
chicago	68
sang	68
drug	68
straighten	68
marching	68
dr.	68
tongue	68
das	68
anyway	67
salvation	67
pure	67
movie	67
plan	67
want)	67
slide	67
cries	67
drag	67
tracks	67
milk	67
coquette	67
backyard	67
shotgun	67
season	67
circus	67
mister	66
steal	66
woman's	66
doubt	66
version][#]	66
case	66
county	66
brick	66
100	66
1]	65
playing	65
punk	65
emotion	65
rocky	65
remix	65
dem	65
looks	65
masquerade	65
eternity	65
fragile	65
satellite	65
(do	64
craziest	64
survive	64
horizon	64
[7"	64
matters	64
time)	64
dame	64
knockin'	64
c'est	64
yonder	64
wreck	64
main	64
near	64
written	64
pull	64
cottage	64
hills	63
folks	63
mission	63
giving	63
religion	63
saving	63
earrings	63
cherie	63
tales	63
buzz	63
[dvd][live][*]	63
gentlemen	63
ole	63
fish	63
mellow	63
driver	63
waters	63
leavin'	63
ev'ry	63
daydream	63
rescue	63
strength	63
sounds	63
teardrops	62
crystal	62
healing	62
romeo	62
nigga	62
caroline	62
come,	62
broke	62
faded	62
medicine	62
pour	62
cloud	62
chariot	62
à	62
bass	62
curse	62
quit	62
passing	62
woman,	62
victim	62
troubled	62
likes	61
funk	61
drowning	61
susannah	61
penthouse	61
plane	61
born?	61
saint	61
christ	61
ok	61
sleepless	61
bleeding	61
misty	61
weak	61
cielo	61
breeze	61
amo	61
lover's	61
tomorrows	61
disease	61
hoy	61
search	61
shakin'	61
haunted	61
below	61
bear	61
(of	61
tiempo	61
mack	60
sacrifice	60
haven't	60
estoy	60
pretend	60
mal	60
infirmary	60
noel	60
basin	60
jenny	60
go)	60
praise	60
cradle	60
night)	60
cup	60
trolley	60
rouge	60
button	60
cream	60
fire)	59
waves	59
(that	59
